iter	Passed	Remaining
402	14800	168829
403	14839	168815
404	14877	168796
405	14911	168729
406	14949	168702
407	14994	168760
408	15031	168722
409	15072	168733
410	15112	168738
411	15154	168758
412	15194	168763
413	15230	168712
414	15267	168680
415	15307	168672
416	15344	168642
417	15385	168652
418	15417	168564
419	15449	168476
420	15484	168412
421	15518	168348
422	15549	168246
423	15587	168231
424	15622	168176
425	15668	168229
426	15705	168198
427	15741	168159
428	15786	168204
429	15824	168183
430	15866	168204
431	15903	168162
432	15941	168138
433	15983	168159
434	16025	168179
435	16058	168102
436	16094	168048
437	16128	167985
438	16164	167940
439	16204	167932
440	16240	167889
441	16278	167870
442	16320	167883
443	16360	167874
444	16407	167945
445	16448	167949
446	16482	167885
447	16525	167912
448	16562	167870
449	16607	167920
450	16647	167909
451	16682	167858
452	16721	167841
453	16759	167811
454	16798	167803
455	16843	167841
456	16875	167756
457	16904	167646
458	16933	167532
459	16965	167443
460	17005	167435
461	17047	167452
462	17084	167415
463	17114	167309
464	17151	167272
465	17194	167296
466	17231	167264
467	17268	167226
468	17303	167166
469	17338	167113
470	17379	167113
471	17412	167041
472	17448	166999
473	17490	167006
474	17530	167003
475	17560	166899
476	17597	166861
477	17632	166810
478	17676	166834
479	17715	166823
480	17753	166794
481	17791	166769
482	17825	166701
483	17865	166698
484	17902	166656
485	17942	166650
486	17978	166608
487	18021	166629
488	18057	166582
489	18097	166575
490	18132	166516
491	18172	166503
492	18206	166444
493	18243	166411
494	18280	166373
495	18318	166345
496	18354	166294
497	18397	166315
498	18429	166237
499	18467	166205
500	18508	166210
501	18545	166170
502	18581	166128
503	18615	166066
504	18649	165997
505	18685	165949
506	18720	165896
507	18751	165810
508	18798	165862
509	18837	165843
510	18876	165826
511	18915	165803
512	18958	165821
513	19004	165864
514	19044	165851
515	19088	165878
516	19124	165828
517	19161	165793
518	19200	165774
519	19237	165736
520	19274	165705
521	19319	165734
522	19359	165722
523	19398	165701
524	19437	165681
525	19474	165648
526	19506	165565
527	19540	165500
528	19580	165493
529	19615	165434
530	19652	165400
531	19690	165373
532	19731	165366
533	19769	165340
534	19812	165351
535	19849	165314
536	19890	165312
537	19933	165325
538	19976	165335
539	20016	165323
540	20056	165311
541	20092	165265
