iter	R2	RMSE
0	0.0478262499	0.1385110456
5	0.2514499905	0.1228108491
10	0.4061498751	0.1093867575
15	0.5248319351	0.09784754973
20	0.6141140143	0.08817709654
25	0.6816937319	0.08008458318
30	0.7329671189	0.07335145573
35	0.7717355891	0.06781807043
40	0.8016510058	0.06321808535
45	0.8251152757	0.05936114402
50	0.8425472003	0.0563250367
55	0.8571285708	0.05365362245
60	0.8685922769	0.05145609347
65	0.8777585757	0.04962899618
70	0.8853572419	0.04806175649
75	0.8918184277	0.04668775685
80	0.8969391835	0.04556937797
85	0.9009289708	0.04467860818
90	0.9045923586	0.04384478297
95	0.9074471919	0.0431838224
100	0.9100117471	0.04258133423
105	0.9123407254	0.04202669778
110	0.9143670329	0.04153812051
115	0.9167306933	0.04096083762
120	0.918657024	0.04048427214
125	0.9201947153	0.04009979392
130	0.9218695301	0.03967678905
135	0.9234698547	0.03926834333
140	0.924703863	0.03895046418
145	0.926400316	0.03850918743
150	0.9277410502	0.03815681624
155	0.9289190039	0.03784452702
160	0.9296485476	0.03764981819
165	0.9305716149	0.03740200449
170	0.9313971326	0.03717898297
175	0.9321648272	0.03697036657
180	0.9328906611	0.03677204749
185	0.9334882307	0.03660796191
190	0.9342836294	0.03638841275
195	0.9350184483	0.03618440022
200	0.935763173	0.0359764533
205	0.936348644	0.03581213644
210	0.9369878147	0.03563186877
215	0.937489783	0.03548965792
220	0.9380215884	0.03533837313
225	0.93854377	0.03518919022
230	0.9390249913	0.03505114787
235	0.9395251965	0.03490708193
240	0.9398265551	0.03481999876
245	0.9403575185	0.03466603543
250	0.9407873284	0.0345409009
255	0.9411979609	0.03442092478
260	0.941705204	0.03427213828
265	0.9421861238	0.03413047924
270	0.9425255427	0.03403014174
275	0.9428809212	0.03392476746
280	0.9432080567	0.03382748346
285	0.9435423503	0.03372777724
290	0.943919995	0.03361478355
295	0.9442354373	0.03352011127
300	0.9446534113	0.03339425344
305	0.9450208415	0.03328322452
310	0.9452699717	0.03320772844
315	0.9456119503	0.03310381724
320	0.9460731886	0.0329631501
325	0.9463600871	0.03287534592
330	0.9467320515	0.03276116331
335	0.9470083236	0.03267609375
340	0.9472578322	0.03259908001
345	0.9475086183	0.03252147989
350	0.9477549607	0.03244508211
355	0.9480102893	0.03236570051
360	0.9482497651	0.03229107761
365	0.9484909338	0.03221574572
370	0.9488313406	0.03210911716
375	0.9491134752	0.03202047089
380	0.9494205542	0.03192370725
385	0.9496946998	0.03183707623
390	0.9499170585	0.03176663739
395	0.9502522173	0.03166016897
400	0.9504814375	0.0315871397
405	0.9506442128	0.03153518397
410	0.9508537548	0.03146816753
415	0.9510363498	0.03140965842
420	0.9512558895	0.03133916238
425	0.9514811033	0.03126668349
430	0.9518136122	0.03115935906
435	0.9519923153	0.0311015255
440	0.9521761162	0.03104193189
445	0.9523562495	0.03098341626
450	0.9525840813	0.03090924506
455	0.9527589406	0.03085219931
460	0.9529856056	0.03077809471
